,,0
England,Norway,"(0.9208143696636658, 0.07918563033633418)"
England,Austria,"(0.9219970928910607, 0.0780029071089393)"
England,Northern Ireland,"(0.9929299960217683, 0.0070700039782316945)"
England,Spain,"(0.6169604825117354, 0.38303951748826454)"
England,Germany,"(0.9348387833961592, 0.06516121660384075)"
England,Denmark,"(0.9876905304125067, 0.012309469587493294)"
England,Finland,"(0.9952099272267565, 0.004790072773243551)"
England,Netherlands,"(0.8590728302122881, 0.14092716978771191)"
England,Sweden,"(0.8190154179831994, 0.1809845820168005)"
England,Switzerland,"(0.9482422180156674, 0.05175778198433257)"
England,Portugal,"(0.9988986724243891, 0.0011013275756108969)"
England,France,"(0.9506665765589234, 0.049333423441076614)"
England,Italy,"(0.8442440771132599, 0.15575592288674012)"
England,Iceland,"(0.8726608429579206, 0.1273391570420795)"
England,Belgium,"(0.7774610630218471, 0.2225389369781528)"
Norway,Austria,"(0.5035063533137593, 0.49649364668624074)"
Norway,Northern Ireland,"(0.8558850428068513, 0.14411495719314868)"
Norway,Spain,"(0.13903477483102747, 0.8609652251689726)"
Norway,Germany,"(0.5424617606531312, 0.4575382393468688)"
Norway,Denmark,"(0.8059097535071763, 0.19409024649282375)"
Norway,Finland,"(0.8832482694441192, 0.11675173055588087)"
Norway,Netherlands,"(0.3661205147862735, 0.6338794852137265)"
Norway,Sweden,"(0.30677616757112025, 0.6932238324288797)"
Norway,Switzerland,"(0.5893483841672902, 0.41065161583270976)"
Norway,Portugal,"(0.9465605306753205, 0.053439469324679446)"
Norway,France,"(0.5991387653600332, 0.40086123463996676)"
Norway,Italy,"(0.3422957825585133, 0.6577042174414867)"
Norway,Iceland,"(0.39032561846298236, 0.6096743815370176)"
Norway,Belgium,"(0.25794353906619205, 0.742056460933808)"
Austria,Northern Ireland,"(0.8539184913241541, 0.14608150867584585)"
Austria,Spain,"(0.13745712101293156, 0.8625428789870684)"
Austria,Germany,"(0.5386311043015695, 0.4613688956984306)"
Austria,Denmark,"(0.8036677766866809, 0.19633222331331915)"
Austria,Finland,"(0.8816656958213144, 0.11833430417868564)"
Austria,Netherlands,"(0.3630616772564739, 0.636938322743526)"
Austria,Sweden,"(0.3035802061895301, 0.6964197938104699)"
Austria,Switzerland,"(0.5861772737435157, 0.4138227262564843)"
Austria,Portugal,"(0.9458606988841577, 0.05413930111584234)"
Austria,France,"(0.5959740543734369, 0.40402594562656313)"
Austria,Italy,"(0.3393408649278836, 0.6606591350721164)"
Austria,Iceland,"(0.38706292772082257, 0.6129370722791775)"
Austria,Belgium,"(0.2553356045022535, 0.7446643954977465)"
Northern Ireland,Spain,"(0.01895329117037599, 0.981046708829624)"
Northern Ireland,Germany,"(0.1681452751596142, 0.8318547248403858)"
Northern Ireland,Denmark,"(0.4167694832684028, 0.5832305167315972)"
Northern Ireland,Finland,"(0.5545420384979691, 0.44545796150203093)"
Northern Ireland,Netherlands,"(0.08358654290296673, 0.9164134570970333)"
Northern Ireland,Sweden,"(0.06281502844131566, 0.9371849715586843)"
Northern Ireland,Switzerland,"(0.1986562816774374, 0.8013437183225626)"
Northern Ireland,Portugal,"(0.7234084408196251, 0.2765915591803749)"
Northern Ireland,France,"(0.2051419385056874, 0.7948580614943126)"
Northern Ireland,Italy,"(0.07490867125736592, 0.9250913287426341)"
Northern Ireland,Iceland,"(0.0931854116889314, 0.9068145883110686)"
Northern Ireland,Belgium,"(0.04778065838250811, 0.9522193416174919)"
Spain,Germany,"(0.8814176523034202, 0.11858234769657983)"
Spain,Denmark,"(0.9704529467616456, 0.029547053238354378)"
Spain,Finland,"(0.9862066571780758, 0.013793342821924185)"
Spain,Netherlands,"(0.7757454226637419, 0.2242545773362581)"
Spain,Sweden,"(0.7245979469052087, 0.2754020530947913)"
Spain,Switzerland,"(0.902279019063088, 0.09772098093691198)"
Spain,Portugal,"(0.9957456284905667, 0.0042543715094333434)"
Spain,France,"(0.9064102756062353, 0.09358972439376471)"
Spain,Italy,"(0.7562736733452172, 0.24372632665478278)"
Spain,Iceland,"(0.7932630492450213, 0.20673695075497864)"
Spain,Belgium,"(0.674113733342862, 0.32588626665713805)"
Germany,Denmark,"(0.7768894909795722, 0.2231105090204279)"
Germany,Finland,"(0.8627255527761596, 0.1372744472238404)"
Germany,Netherlands,"(0.32732379938106176, 0.6726762006189382)"
Germany,Sweden,"(0.27129313409635886, 0.7287068659036412)"
Germany,Switzerland,"(0.5477331311665941, 0.452266868833406)"
Germany,Portugal,"(0.935305611470725, 0.06469438852927503)"
Germany,France,"(0.5579090946670494, 0.44209090533295065)"
Germany,Italy,"(0.30503998878142785, 0.6949600112185722)"
Germany,Iceland,"(0.3507587351964543, 0.6492412648035457)"
Germany,Belgium,"(0.22560733939741748, 0.7743926606025825)"
Denmark,Finland,"(0.6358684173788574, 0.36413158262114265)"
Denmark,Netherlands,"(0.11746734281661647, 0.8825326571833835)"
Denmark,Sweden,"(0.09015137334212418, 0.9098486266578758)"
Denmark,Switzerland,"(0.2598767713733241, 0.7401232286266759)"
Denmark,Portugal,"(0.7871536897803793, 0.21284631021962072)"
Denmark,France,"(0.2679610283420734, 0.7320389716579266)"
