date,home_team,away_team,home_score,away_score,tournament,home_odds,draw_odds,away_odds
2019-08-29,Israel,Italy,2.0,3.0,UEFA Euro qualification,3000.0,1600.0,-2000.0
2019-08-29,Lithuania,Croatia,1.0,2.0,UEFA Euro qualification,2150.0,900.0,-1000.0
2019-08-29,Faroe Islands,Wales,0.0,6.0,UEFA Euro qualification,3300.0,1200.0,-1429.0
2019-08-29,Denmark,Malta,8.0,0.0,UEFA Euro qualification,-10000.0,1825.0,4200.0
2019-08-29,Iceland,Hungary,4.0,1.0,UEFA Euro qualification,-714.0,760.0,1625.0
2019-08-30,Bosnia-Herzegovina,Georgia,7.0,1.0,UEFA Euro qualification,-526.0,620.0,1350.0
2019-08-30,Scotland,Cyprus,8.0,0.0,UEFA Euro qualification,-10000.0,4000.0,4300.0
2019-08-30,Kosovo,Turkey,2.0,0.0,UEFA Euro qualification,,,
2019-08-30,Northern Ireland,Norway,0.0,6.0,UEFA Euro qualification,2400.0,1000.0,-1111.0
2019-08-30,Estonia,Netherlands,0.0,7.0,UEFA Euro qualification,9000.0,2000.0,-5000.0
2019-08-30,Moldova,Czech Republic,0.0,7.0,UEFA Euro qualification,6200.0,1700.0,-5000.0
2019-08-30,Slovenia,Russia,0.0,1.0,UEFA Euro qualification,242.0,276.0,108.0
2019-08-31,Germany,Montenegro,10.0,0.0,UEFA Euro qualification,,,
2019-09-01,Kazakhstan,Serbia,0.0,3.0,UEFA Euro qualification,1400.0,450.0,-357.0
2019-09-02,Albania,Finland,0.0,3.0,UEFA Euro qualification,950.0,480.0,-370.0
2019-09-02,Iceland,Slovakia,1.0,0.0,UEFA Euro qualification,-714.0,790.0,2000.0
2019-09-03,Netherlands,Turkey,3.0,0.0,UEFA Euro qualification,-3333.0,2500.0,10900.0
2019-09-03,Russia,Estonia,4.0,0.0,UEFA Euro qualification,-3333.0,2300.0,12900.0
2019-09-03,Republic of Ireland,Montenegro,2.0,0.0,UEFA Euro qualification,-3333.0,3300.0,6900.0
2019-09-03,Belgium,Croatia,6.0,1.0,UEFA Euro qualification,-769.0,950.0,2700.0
2019-09-03,Wales,Northern Ireland,2.0,2.0,UEFA Euro qualification,-476.0,643.0,2000.0
2019-09-03,Belarus,Faroe Islands,6.0,0.0,UEFA Euro qualification,-2000.0,1575.0,4900.0
2019-09-03,Israel,Denmark,0.0,3.0,UEFA Euro qualification,1700.0,970.0,-526.0
2019-09-03,Switzerland,Lithuania,4.0,0.0,UEFA Euro qualification,-3333.0,2500.0,5900.0
2019-09-03,Ukraine,Germany,0.0,8.0,UEFA Euro qualification,5500.0,2200.0,-2500.0
2019-09-03,Georgia,Italy,0.0,1.0,UEFA Euro qualification,5300.0,3300.0,-3333.0
2019-09-03,Latvia,Sweden,1.0,4.0,UEFA Euro qualification,6400.0,2500.0,-3333.0
2019-09-03,Slovenia,Kosovo,5.0,0.0,UEFA Euro qualification,,,
2019-09-03,Bosnia-Herzegovina,Malta,2.0,0.0,UEFA Euro qualification,-1429.0,1250.0,3000.0
2019-09-03,Austria,North Macedonia,3.0,0.0,UEFA Euro qualification,-3333.0,3300.0,5800.0
2019-10-02,North Macedonia,Kazakhstan,4.0,1.0,UEFA Euro qualification,190.0,237.0,170.0
2019-10-04,Lithuania,Switzerland,0.0,3.0,UEFA Euro qualification,5900.0,2000.0,-2500.0
2019-10-04,Hungary,Sweden,0.0,5.0,UEFA Euro qualification,2900.0,1400.0,-1250.0
2019-10-04,Slovenia,Netherlands,2.0,4.0,UEFA Euro qualification,5400.0,1550.0,-2500.0
2019-10-04,Latvia,Slovakia,1.0,2.0,UEFA Euro qualification,2300.0,725.0,-625.0
2019-10-04,Belarus,Norway,1.0,7.0,UEFA Euro qualification,4900.0,2000.0,-2000.0
2019-10-04,Malta,Italy,0.0,2.0,UEFA Euro qualification,6900.0,2500.0,-3333.0
2019-10-04,Turkey,Estonia,0.0,0.0,UEFA Euro qualification,-625.0,720.0,2000.0
2019-10-04,Albania,Portugal,0.0,1.0,UEFA Euro qualification,4900.0,1400.0,-2000.0
2019-10-04,Spain,Azerbaijan,4.0,0.0,UEFA Euro qualification,-5000.0,2600.0,6600.0
2019-10-04,Denmark,Bosnia-Herzegovina,2.0,0.0,UEFA Euro qualification,-2500.0,1900.0,6400.0
2019-10-05,Germany,Ukraine,8.0,0.0,UEFA Euro qualification,-3333.0,2000.0,10000.0
2019-10-05,North Macedonia,Serbia,0.0,6.0,UEFA Euro qualification,1200.0,700.0,-455.0
2019-10-08,Sweden,Slovakia,7.0,0.0,UEFA Euro qualification,-3333.0,2200.0,8900.0
2019-10-08,Netherlands,Russia,2.0,0.0,UEFA Euro qualification,-500.0,750.0,1600.0
2019-10-08,Kazakhstan,France,0.0,3.0,UEFA Euro qualification,27400.0,3300.0,-3333.0
2019-10-08,Italy,Bosnia-Herzegovina,2.0,0.0,UEFA Euro qualification,-1250.0,1825.0,5000.0
2019-10-08,Faroe Islands,Norway,0.0,13.0,UEFA Euro qualification,24900.0,2500.0,-3333.0
2019-10-08,Belarus,Wales,0.0,1.0,UEFA Euro qualification,680.0,385.0,-217.0
2019-10-08,Georgia,Denmark,0.0,2.0,UEFA Euro qualification,14900.0,2500.0,-3333.0
2019-10-08,Turkey,Slovenia,1.0,6.0,UEFA Euro qualification,440.0,328.0,130.0
2019-10-08,Greece,Germany,0.0,5.0,UEFA Euro qualification,22400.0,3300.0,-3333.0
2019-10-08,Switzerland,Croatia,2.0,0.0,UEFA Euro qualification,-1667.0,1600.0,4200.0
2019-10-08,Latvia,Iceland,0.0,6.0,UEFA Euro qualification,5500.0,1900.0,-2500.0
2019-10-08,Estonia,Kosovo,1.0,2.0,UEFA Euro qualification,296.0,280.0,162.0
2019-10-08,Republic of Ireland,Ukraine,3.0,2.0,UEFA Euro qualification,-156.0,300.0,505.0
2019-10-08,Serbia,Austria,0.0,1.0,UEFA Euro qualification,490.0,385.0,-161.0
